id_unique_orig,idshift,Team_orig,Date,NHours,Start,End,StartId,EndId,idw,shiftid,Team,id_unique,seat
483269,67933,Team 11,21jun2013,25,21jun2013 20:00:00,22jun2013 02:00:00,23851,23863,73,252,15,301623,9
130307,19409,Team 9,24jun2013,76,24jun2013 06:30:00,24jun2013 11:30:00,23968,23978,23,81,15,301623,27
339824,48432,Team 9,18jun2013,87,18jun2013 16:00:00,19jun2013 02:00:00,23699,23719,53,179,5,305690,38
767564,107746,Team 10,20jun2013,33,20jun2013 15:30:00,20jun2013 23:30:00,23794,23810,116,412,5,305690,9
414187,58685,Team 15,22jun2013,66,22jun2013 17:00:00,22jun2013 23:30:00,23893,23906,62,213,5,305690,22
236263,36339,Team 14,24jun2013,80,24jun2013 16:00:00,25jun2013 02:00:00,23987,24007,42,145,5,305690,35
53300,9464,Team 13,19jun2013,62,19jun2013 07:30:00,19jun2013 17:30:00,23730,23750,9,28,9,321647,32
572207,79325,Team 4,21jun2013,48,21jun2013 07:00:00,21jun2013 13:00:00,23825,23837,85,300,9,321647,29
527408,74790,Team 5,23jun2013,97,23jun2013 07:00:00,23jun2013 15:30:00,23921,23938,80,281,9,321647,28
266851,39813,Team 4,19jun2013,76,19jun2013 18:00:00,20jun2013 04:00:00,23751,23771,45,154,14,338397,16
305690,44911,Team 5,21jun2013,60,21jun2013 18:00:00,22jun2013 03:30:00,23847,23866,50,169,14,338397,19
190413,28033,Team 2,23jun2013,80,23jun2013 22:00:00,24jun2013 07:00:00,23951,23969,34,120,14,338397,38
236538,37220,Team 1,19jun2013,112,19jun2013 08:00:00,19jun2013 18:00:00,23731,23751,43,147,9,339824,34
657288,88651,Team 2,21jun2013,101,21jun2013 07:00:00,21jun2013 17:00:00,23825,23845,95,338,9,339824,21
800017,113322,Team 6,23jun2013,94,23jun2013 07:00:00,23jun2013 15:30:00,23921,23938,123,443,9,339824,22
754948,105521,Team 12,18jun2013,34,18jun2013 16:00:00,19jun2013 00:00:00,23699,23715,114,405,5,343038,48
338397,48081,Team 14,20jun2013,77,20jun2013 16:00:00,21jun2013 01:30:00,23795,23814,52,176,5,343038,49
877773,126462,Team 13,22jun2013,72,22jun2013 17:00:00,23jun2013 02:00:00,23893,23911,133,468,5,343038,27
679841,91969,Team 7,24jun2013,79,24jun2013 16:00:00,25jun2013 01:30:00,23987,24006,97,346,5,343038,17
527408,74788,Team 5,19jun2013,97,19jun2013 14:00:00,19jun2013 22:30:00,23743,23760,80,279,12,351336,12
338397,48082,Team 14,21jun2013,77,21jun2013 13:00:00,21jun2013 22:30:00,23837,23856,52,177,12,351336,46
925831,135399,Team 13,23jun2013,58,23jun2013 16:00:00,24jun2013 01:30:00,23939,23958,144,505,12,351336,25
821417,115591,Team 12,18jun2013,20,18jun2013 12:30:00,18jun2013 22:00:00,23692,23711,125,450,4,353379,7
399447,56810,Team 12,20jun2013,95,20jun2013 11:30:00,20jun2013 19:30:00,23786,23802,60,207,4,353379,43
607083,83262,Team 9,22jun2013,85,22jun2013 10:30:00,22jun2013 21:00:00,23880,23901,90,321,4,353379,37
301623,44035,Team 15,24jun2013,40,24jun2013 13:00:00,24jun2013 22:30:00,23981,24000,49,167,4,353379,5
915075,134202,Team 14,19jun2013,66,19jun2013 11:30:00,19jun2013 22:00:00,23738,23759,143,501,11,359142,44
607083,83261,Team 9,21jun2013,85,21jun2013 11:00:00,21jun2013 20:30:00,23833,23852,90,320,11,359142,40
122331,18740,Team 13,23jun2013,56,23jun2013 16:00:00,23jun2013 23:30:00,23939,23954,21,71,11,359142,20
38178,6764,Team 7,18jun2013,67,18jun2013 17:30:00,19jun2013 00:00:00,23702,23715,6,14,6,364323,21
880808,127908,Team 2,20jun2013,54,20jun2013 17:00:00,21jun2013 00:30:00,23797,23812,135,475,6,364323,23
713492,96636,Team 5,22jun2013,45,22jun2013 18:00:00,23jun2013 01:30:00,23895,23910,104,367,6,364323,35
735428,100888,Team 13,24jun2013,84,24jun2013 17:00:00,25jun2013 00:30:00,23989,24004,108,387,6,364323,25
70830,11963,Team 5,18jun2013,81,18jun2013 10:30:00,18jun2013 19:30:00,23688,23706,13,43,3,383888,39
769213,107889,Team 5,20jun2013,55,20jun2013 09:00:00,20jun2013 14:00:00,23781,23791,117,416,3,383888,14
106879,17368,Team 1,22jun2013,61,22jun2013 08:30:00,22jun2013 17:30:00,23876,23894,20,67,3,383888,32
228236,33452,Team 11,24jun2013,55,24jun2013 11:00:00,24jun2013 21:00:00,23977,23997,39,139,3,383888,8
468416,65056,Team 10,19jun2013,46,19jun2013 15:30:00,19jun2013 23:30:00,23746,23762,70,243,12,399447,13
609904,83815,Team 13,21jun2013,39,21jun2013 14:00:00,21jun2013 15:30:00,23839,23842,91,326,12,399447,13
364323,53429,Team 6,23jun2013,47,23jun2013 17:30:00,23jun2013 22:30:00,23942,23952,58,202,12,399447,31
130746,19754,Team 2,18jun2013,101,18jun2013 13:00:00,18jun2013 22:30:00,23693,23712,24,82,4,408514,45
138001,20395,Team 8,20jun2013,80,20jun2013 12:00:00,20jun2013 22:00:00,23787,23807,25,88,4,408514,44
501521,71694,Team 1,22jun2013,126,22jun2013 11:00:00,22jun2013 21:00:00,23881,23901,77,268,4,408514,38
767564,107747,Team 10,24jun2013,33,24jun2013 14:00:00,24jun2013 21:30:00,23983,23998,116,413,4,408514,12
620947,85230,Team 4,19jun2013,32,19jun2013 23:00:00,20jun2013 06:30:00,23761,23776,92,328,15,414187,29
190413,28031,Team 2,21jun2013,80,21jun2013 20:30:00,22jun2013 06:30:00,23852,23872,34,118,15,414187,39
602783,81952,Team 10,24jun2013,82,24jun2013 06:30:00,24jun2013 17:00:00,23968,23989,88,314,15,414187,22
732892,100055,Team 1,19jun2013,55,19jun2013 06:30:00,19jun2013 11:30:00,23728,23738,107,379,8,414877,22
58138,10765,Team 9,21jun2013,85,21jun2013 06:30:00,21jun2013 16:30:00,23824,23844,10,32,8,414877,26
98413,16885,Team 7,23jun2013,40,23jun2013 06:30:00,23jun2013 16:30:00,23920,23940,19,65,8,414877,26
236538,37219,Team 1,18jun2013,112,18jun2013 08:00:00,18jun2013 18:00:00,23683,23703,43,146,2,427774,18
887296,129293,Team 14,20jun2013,91,20jun2013 07:30:00,20jun2013 17:30:00,23778,23798,137,481,2,427774,30
227085,32955,Team 8,22jun2013,43,22jun2013 00:00:00,22jun2013 02:30:00,23859,23864,38,135,2,427774,13
